image_id,domain,split,image_path
n07740461_10011,B (Orange),test,testB/n07740461_10011.jpg
n07740461_10012,A (Apple),train,trainA/n07740461_10012.jpg
n07740461_10019,A (Apple),train,trainA/n07740461_10019.jpg
n07740461_10037,A (Apple),train,trainA/n07740461_10037.jpg
n07740461_10065,A (Apple),train,trainA/n07740461_10065.jpg
n07740461_10067,A (Apple),train,trainA/n07740461_10067.jpg
n07740461_10074,A (Apple),train,trainA/n07740461_10074.jpg
n07740461_10080,B (Orange),test,testB/n07740461_10080.jpg
n07740461_10104,A (Apple),train,trainA/n07740461_10104.jpg
n07740461_10128,A (Apple),train,trainA/n07740461_10128.jpg
n07740461_10129,A (Apple),train,trainA/n07740461_10129.jpg
n07740461_10166,A (Apple),train,trainA/n07740461_10166.jpg
n07740461_10183,A (Apple),train,trainA/n07740461_10183.jpg
n07740461_10211,B (Orange),test,testB/n07740461_10211.jpg
n07740461_10218,A (Apple),train,trainA/n07740461_10218.jpg
n07740461_10219,A (Apple),train,trainA/n07740461_10219.jpg
n07740461_10239,A (Apple),train,trainA/n07740461_10239.jpg
n07740461_10242,A (Apple),train,trainA/n07740461_10242.jpg
n07740461_10257,A (Apple),train,trainA/n07740461_10257.jpg
n07740461_10266,A (Apple),train,trainA/n07740461_10266.jpg
n07740461_10273,A (Apple),train,trainA/n07740461_10273.jpg
n07740461_10284,A (Apple),train,trainA/n07740461_10284.jpg
n07740461_1030,B (Orange),test,testB/n07740461_1030.jpg
n07740461_10311,B (Orange),test,testB/n07740461_10311.jpg
n07740461_1033,A (Apple),train,trainA/n07740461_1033.jpg
n07740461_10335,A (Apple),train,trainA/n07740461_10335.jpg
n07740461_10336,A (Apple),train,trainA/n07740461_10336.jpg
n07740461_10357,A (Apple),train,trainA/n07740461_10357.jpg
n07740461_10363,A (Apple),train,trainA/n07740461_10363.jpg
n07740461_10369,A (Apple),train,trainA/n07740461_10369.jpg
n07740461_10371,B (Orange),test,testB/n07740461_10371.jpg
n07740461_10374,A (Apple),train,trainA/n07740461_10374.jpg
n07740461_10403,A (Apple),train,trainA/n07740461_10403.jpg
n07740461_10409,A (Apple),train,trainA/n07740461_10409.jpg
n07740461_10419,A (Apple),train,trainA/n07740461_10419.jpg
n07740461_10435,A (Apple),train,trainA/n07740461_10435.jpg
n07740461_10437,A (Apple),train,trainA/n07740461_10437.jpg
n07740461_10442,A (Apple),train,trainA/n07740461_10442.jpg
n07740461_10458,A (Apple),train,trainA/n07740461_10458.jpg
n07740461_1046,A (Apple),train,trainA/n07740461_1046.jpg
n07740461_10483,A (Apple),train,trainA/n07740461_10483.jpg
n07740461_10508,A (Apple),train,trainA/n07740461_10508.jpg
n07740461_10514,A (Apple),train,trainA/n07740461_10514.jpg
n07740461_10517,A (Apple),train,trainA/n07740461_10517.jpg
n07740461_10523,A (Apple),train,trainA/n07740461_10523.jpg
n07740461_10535,A (Apple),train,trainA/n07740461_10535.jpg
n07740461_10539,A (Apple),train,trainA/n07740461_10539.jpg
n07740461_10554,A (Apple),train,trainA/n07740461_10554.jpg
n07740461_10571,B (Orange),test,testB/n07740461_10571.jpg
n07740461_10575,A (Apple),train,trainA/n07740461_10575.jpg
n07740461_10577,A (Apple),train,trainA/n07740461_10577.jpg
n07740461_10584,A (Apple),train,trainA/n07740461_10584.jpg
n07740461_10595,A (Apple),train,trainA/n07740461_10595.jpg
n07740461_106,A (Apple),train,trainA/n07740461_106.jpg
n07740461_10639,A (Apple),train,trainA/n07740461_10639.jpg
n07740461_1064,A (Apple),train,trainA/n07740461_1064.jpg
n07740461_10643,A (Apple),train,trainA/n07740461_10643.jpg
n07740461_10647,A (Apple),train,trainA/n07740461_10647.jpg
n07740461_10651,B (Orange),test,testB/n07740461_10651.jpg
n07740461_10657,A (Apple),train,trainA/n07740461_10657.jpg
n07740461_10664,A (Apple),train,trainA/n07740461_10664.jpg
n07740461_10681,B (Orange),test,testB/n07740461_10681.jpg
n07740461_10717,A (Apple),train,trainA/n07740461_10717.jpg
n07740461_10722,A (Apple),train,trainA/n07740461_10722.jpg
n07740461_10724,A (Apple),train,trainA/n07740461_10724.jpg
n07740461_10747,A (Apple),train,trainA/n07740461_10747.jpg
n07740461_10750,B (Orange),test,testB/n07740461_10750.jpg
n07740461_10756,A (Apple),train,trainA/n07740461_10756.jpg
n07740461_10759,A (Apple),train,trainA/n07740461_10759.jpg
n07740461_10762,A (Apple),train,trainA/n07740461_10762.jpg
n07740461_10797,A (Apple),train,trainA/n07740461_10797.jpg
n07740461_10819,A (Apple),train,trainA/n07740461_10819.jpg
n07740461_10842,A (Apple),train,trainA/n07740461_10842.jpg
n07740461_10885,A (Apple),train,trainA/n07740461_10885.jpg
n07740461_10894,A (Apple),train,trainA/n07740461_10894.jpg
n07740461_10916,A (Apple),train,trainA/n07740461_10916.jpg
n07740461_10917,A (Apple),train,trainA/n07740461_10917.jpg
n07740461_1092,A (Apple),train,trainA/n07740461_1092.jpg
n07740461_10940,B (Orange),test,testB/n07740461_10940.jpg
n07740461_10950,B (Orange),test,testB/n07740461_10950.jpg
n07740461_10951,B (Orange),test,testB/n07740461_10951.jpg
n07740461_10986,A (Apple),train,trainA/n07740461_10986.jpg
n07740461_10994,A (Apple),train,trainA/n07740461_10994.jpg
n07740461_10997,A (Apple),train,trainA/n07740461_10997.jpg
n07740461_11018,A (Apple),train,trainA/n07740461_11018.jpg
n07740461_11040,B (Orange),test,testB/n07740461_11040.jpg
n07740461_11041,B (Orange),test,testB/n07740461_11041.jpg
n07740461_11044,A (Apple),train,trainA/n07740461_11044.jpg
n07740461_11069,A (Apple),train,trainA/n07740461_11069.jpg
n07740461_11073,A (Apple),train,trainA/n07740461_11073.jpg
n07740461_11082,A (Apple),train,trainA/n07740461_11082.jpg
n07740461_11094,A (Apple),train,trainA/n07740461_11094.jpg
n07740461_11095,A (Apple),train,trainA/n07740461_11095.jpg
n07740461_111,B (Orange),test,testB/n07740461_111.jpg
n07740461_11114,A (Apple),train,trainA/n07740461_11114.jpg
n07740461_11117,A (Apple),train,trainA/n07740461_11117.jpg
n07740461_11121,B (Orange),test,testB/n07740461_11121.jpg
n07740461_11130,B (Orange),test,testB/n07740461_11130.jpg
n07740461_11134,A (Apple),train,trainA/n07740461_11134.jpg
n07740461_11143,A (Apple),train,trainA/n07740461_11143.jpg
n07740461_11159,A (Apple),train,trainA/n07740461_11159.jpg
n07740461_11187,A (Apple),train,trainA/n07740461_11187.jpg
n07740461_11221,B (Orange),test,testB/n07740461_11221.jpg
n07740461_11225,A (Apple),train,trainA/n07740461_11225.jpg
n07740461_11247,A (Apple),train,trainA/n07740461_11247.jpg
n07740461_1125,A (Apple),train,trainA/n07740461_1125.jpg
n07740461_11254,A (Apple),train,trainA/n07740461_11254.jpg
n07740461_11258,A (Apple),train,trainA/n07740461_11258.jpg
n07740461_11260,B (Orange),test,testB/n07740461_11260.jpg
n07740461_11267,A (Apple),train,trainA/n07740461_11267.jpg
n07740461_1131,B (Orange),test,testB/n07740461_1131.jpg
n07740461_11356,A (Apple),train,trainA/n07740461_11356.jpg
n07740461_11361,B (Orange),test,testB/n07740461_11361.jpg
n07740461_11391,B (Orange),test,testB/n07740461_11391.jpg
n07740461_1140,B (Orange),test,testB/n07740461_1140.jpg
n07740461_11403,A (Apple),train,trainA/n07740461_11403.jpg
n07740461_11408,A (Apple),train,trainA/n07740461_11408.jpg
n07740461_1141,B (Orange),test,testB/n07740461_1141.jpg
n07740461_11418,A (Apple),train,trainA/n07740461_11418.jpg
n07740461_11457,A (Apple),train,trainA/n07740461_11457.jpg
n07740461_11498,A (Apple),train,trainA/n07740461_11498.jpg
n07740461_11548,A (Apple),train,trainA/n07740461_11548.jpg
n07740461_11597,A (Apple),train,trainA/n07740461_11597.jpg
n07740461_11598,A (Apple),train,trainA/n07740461_11598.jpg
n07740461_11602,A (Apple),train,trainA/n07740461_11602.jpg
n07740461_11613,A (Apple),train,trainA/n07740461_11613.jpg
n07740461_11616,A (Apple),train,trainA/n07740461_11616.jpg
n07740461_1163,A (Apple),train,trainA/n07740461_1163.jpg
n07740461_1164,A (Apple),train,trainA/n07740461_1164.jpg
n07740461_11649,A (Apple),train,trainA/n07740461_11649.jpg
n07740461_11651,B (Orange),test,testB/n07740461_11651.jpg
n07740461_11673,A (Apple),train,trainA/n07740461_11673.jpg
n07740461_11678,A (Apple),train,trainA/n07740461_11678.jpg
n07740461_1169,A (Apple),train,trainA/n07740461_1169.jpg
n07740461_11699,A (Apple),train,trainA/n07740461_11699.jpg
n07740461_1171,B (Orange),test,testB/n07740461_1171.jpg
n07740461_11717,A (Apple),train,trainA/n07740461_11717.jpg
n07740461_11719,A (Apple),train,trainA/n07740461_11719.jpg
n07740461_1174,A (Apple),train,trainA/n07740461_1174.jpg
n07740461_11752,A (Apple),train,trainA/n07740461_11752.jpg
n07740461_11770,B (Orange),test,testB/n07740461_11770.jpg
n07740461_11797,A (Apple),train,trainA/n07740461_11797.jpg
n07740461_11801,B (Orange),test,testB/n07740461_11801.jpg
n07740461_11819,A (Apple),train,trainA/n07740461_11819.jpg
n07740461_11829,A (Apple),train,trainA/n07740461_11829.jpg
n07740461_11833,A (Apple),train,trainA/n07740461_11833.jpg
n07740461_11855,A (Apple),train,trainA/n07740461_11855.jpg
n07740461_11864,A (Apple),train,trainA/n07740461_11864.jpg
n07740461_11871,B (Orange),test,testB/n07740461_11871.jpg
n07740461_11884,A (Apple),train,trainA/n07740461_11884.jpg
n07740461_11891,B (Orange),test,testB/n07740461_11891.jpg
n07740461_1190,B (Orange),test,testB/n07740461_1190.jpg
n07740461_1191,B (Orange),test,testB/n07740461_1191.jpg
n07740461_11910,B (Orange),test,testB/n07740461_11910.jpg
n07740461_11917,A (Apple),train,trainA/n07740461_11917.jpg
n07740461_11927,A (Apple),train,trainA/n07740461_11927.jpg
n07740461_11938,A (Apple),train,trainA/n07740461_11938.jpg
n07740461_11974,A (Apple),train,trainA/n07740461_11974.jpg
n07740461_11992,A (Apple),train,trainA/n07740461_11992.jpg
n07740461_11999,A (Apple),train,trainA/n07740461_11999.jpg
n07740461_12010,B (Orange),test,testB/n07740461_12010.jpg
n07740461_1203,A (Apple),train,trainA/n07740461_1203.jpg
n07740461_12034,A (Apple),train,trainA/n07740461_12034.jpg
n07740461_12048,A (Apple),train,trainA/n07740461_12048.jpg
n07740461_12055,A (Apple),train,trainA/n07740461_12055.jpg
n07740461_12056,A (Apple),train,trainA/n07740461_12056.jpg
n07740461_12071,B (Orange),test,testB/n07740461_12071.jpg
n07740461_12099,A (Apple),train,trainA/n07740461_12099.jpg
n07740461_12101,B (Orange),test,testB/n07740461_12101.jpg
n07740461_12121,B (Orange),test,testB/n07740461_12121.jpg
n07740461_12126,A (Apple),train,trainA/n07740461_12126.jpg
n07740461_12129,A (Apple),train,trainA/n07740461_12129.jpg
n07740461_1213,A (Apple),train,trainA/n07740461_1213.jpg
n07740461_12136,A (Apple),train,trainA/n07740461_12136.jpg
n07740461_12168,A (Apple),train,trainA/n07740461_12168.jpg
n07740461_12215,A (Apple),train,trainA/n07740461_12215.jpg
n07740461_12224,A (Apple),train,trainA/n07740461_12224.jpg
n07740461_12228,A (Apple),train,trainA/n07740461_12228.jpg
n07740461_1223,A (Apple),train,trainA/n07740461_1223.jpg
n07740461_1224,A (Apple),train,trainA/n07740461_1224.jpg
n07740461_12297,A (Apple),train,trainA/n07740461_12297.jpg
n07740461_12298,A (Apple),train,trainA/n07740461_12298.jpg
n07740461_12300,B (Orange),test,testB/n07740461_12300.jpg
n07740461_12305,A (Apple),train,trainA/n07740461_12305.jpg
n07740461_12317,A (Apple),train,trainA/n07740461_12317.jpg
n07740461_12327,A (Apple),train,trainA/n07740461_12327.jpg
n07740461_12333,A (Apple),train,trainA/n07740461_12333.jpg
n07740461_12350,B (Orange),test,testB/n07740461_12350.jpg
n07740461_12355,A (Apple),train,trainA/n07740461_12355.jpg
n07740461_12360,B (Orange),test,testB/n07740461_12360.jpg
n07740461_12372,A (Apple),train,trainA/n07740461_12372.jpg
n07740461_12374,A (Apple),train,trainA/n07740461_12374.jpg
n07740461_12382,A (Apple),train,trainA/n07740461_12382.jpg
n07740461_12385,A (Apple),train,trainA/n07740461_12385.jpg
n07740461_1239,A (Apple),train,trainA/n07740461_1239.jpg
n07740461_12402,A (Apple),train,trainA/n07740461_12402.jpg
n07740461_12475,A (Apple),train,trainA/n07740461_12475.jpg
n07740461_1250,B (Orange),test,testB/n07740461_1250.jpg
n07740461_12507,A (Apple),train,trainA/n07740461_12507.jpg
n07740461_12537,A (Apple),train,trainA/n07740461_12537.jpg
n07740461_1254,A (Apple),train,trainA/n07740461_1254.jpg
n07740461_12540,B (Orange),test,testB/n07740461_12540.jpg
n07740461_12556,A (Apple),train,trainA/n07740461_12556.jpg
n07740461_12564,A (Apple),train,trainA/n07740461_12564.jpg
n07740461_12603,A (Apple),train,trainA/n07740461_12603.jpg
n07740461_1261,B (Orange),test,testB/n07740461_1261.jpg
n07740461_12614,A (Apple),train,trainA/n07740461_12614.jpg
n07740461_12630,B (Orange),test,testB/n07740461_12630.jpg
n07740461_12636,A (Apple),train,trainA/n07740461_12636.jpg
n07740461_12662,A (Apple),train,trainA/n07740461_12662.jpg
n07740461_12693,A (Apple),train,trainA/n07740461_12693.jpg
n07740461_12713,A (Apple),train,trainA/n07740461_12713.jpg
n07740461_12737,A (Apple),train,trainA/n07740461_12737.jpg
n07740461_12748,A (Apple),train,trainA/n07740461_12748.jpg
n07740461_12749,A (Apple),train,trainA/n07740461_12749.jpg
n07740461_12751,B (Orange),test,testB/n07740461_12751.jpg
n07740461_12756,A (Apple),train,trainA/n07740461_12756.jpg
n07740461_12757,A (Apple),train,trainA/n07740461_12757.jpg
n07740461_12768,A (Apple),train,trainA/n07740461_12768.jpg
n07740461_1277,A (Apple),train,trainA/n07740461_1277.jpg
n07740461_128,A (Apple),train,trainA/n07740461_128.jpg
n07740461_12807,A (Apple),train,trainA/n07740461_12807.jpg
n07740461_1283,A (Apple),train,trainA/n07740461_1283.jpg
n07740461_12837,A (Apple),train,trainA/n07740461_12837.jpg
n07740461_12841,B (Orange),test,testB/n07740461_12841.jpg
n07740461_12855,A (Apple),train,trainA/n07740461_12855.jpg
n07740461_12867,A (Apple),train,trainA/n07740461_12867.jpg
n07740461_12869,A (Apple),train,trainA/n07740461_12869.jpg
n07740461_12888,A (Apple),train,trainA/n07740461_12888.jpg
n07740461_12894,A (Apple),train,trainA/n07740461_12894.jpg
n07740461_12921,B (Orange),test,testB/n07740461_12921.jpg
n07740461_12929,A (Apple),train,trainA/n07740461_12929.jpg
n07740461_12930,B (Orange),test,testB/n07740461_12930.jpg
n07740461_12937,A (Apple),train,trainA/n07740461_12937.jpg
n07740461_12953,A (Apple),train,trainA/n07740461_12953.jpg
n07740461_12962,A (Apple),train,trainA/n07740461_12962.jpg
n07740461_12990,B (Orange),test,testB/n07740461_12990.jpg
n07740461_12993,A (Apple),train,trainA/n07740461_12993.jpg
n07740461_12998,A (Apple),train,trainA/n07740461_12998.jpg
n07740461_13013,A (Apple),train,trainA/n07740461_13013.jpg
n07740461_13023,A (Apple),train,trainA/n07740461_13023.jpg
n07740461_13030,B (Orange),test,testB/n07740461_13030.jpg
n07740461_13045,A (Apple),train,trainA/n07740461_13045.jpg
n07740461_13048,A (Apple),train,trainA/n07740461_13048.jpg
n07740461_13066,A (Apple),train,trainA/n07740461_13066.jpg
n07740461_13075,A (Apple),train,trainA/n07740461_13075.jpg
n07740461_13077,A (Apple),train,trainA/n07740461_13077.jpg
n07740461_13091,B (Orange),test,testB/n07740461_13091.jpg
n07740461_13101,B (Orange),test,testB/n07740461_13101.jpg
n07740461_13109,A (Apple),train,trainA/n07740461_13109.jpg
n07740461_13129,A (Apple),train,trainA/n07740461_13129.jpg
n07740461_1313,A (Apple),train,trainA/n07740461_1313.jpg
n07740461_13137,A (Apple),train,trainA/n07740461_13137.jpg
n07740461_13151,B (Orange),test,testB/n07740461_13151.jpg
n07740461_13153,A (Apple),train,trainA/n07740461_13153.jpg
n07740461_13171,B (Orange),test,testB/n07740461_13171.jpg
n07740461_13184,A (Apple),train,trainA/n07740461_13184.jpg
n07740461_13194,A (Apple),train,trainA/n07740461_13194.jpg
n07740461_13197,A (Apple),train,trainA/n07740461_13197.jpg
n07740461_13198,A (Apple),train,trainA/n07740461_13198.jpg
n07740461_13218,A (Apple),train,trainA/n07740461_13218.jpg
n07740461_13225,A (Apple),train,trainA/n07740461_13225.jpg
n07740461_13233,A (Apple),train,trainA/n07740461_13233.jpg
n07740461_13235,A (Apple),train,trainA/n07740461_13235.jpg
n07740461_13249,A (Apple),train,trainA/n07740461_13249.jpg
